{'id': 1, 'check': False, 'user': 0}
{'id': 3, 'check': False, 'user': 0}
{'id': 4, 'check': False, 'user': 0}
{'id': 5, 'check': False, 'user': 0}
{'id': 1, 'check': False, 'user': 1}
{'id': 2, 'check': False, 'user': 1}
{'id': 3, 'check': False, 'user': 1}
{'id': 4, 'check': False, 'user': 1}
{'id': 2, 'check': False, 'user': 2}
{'id': 5, 'check': False, 'user': 2}
{'id': 6, 'check': False, 'user': 2}
{'id': 3, 'check': False, 'user': 2}
{'id': 2, 'check': False, 'user': 3}
{'id': 1, 'check': False, 'user': 3}
{'id': 6, 'check': False, 'user': 3}
{'id': 5, 'check': False, 'user': 3}
{'id': 1, 'check': False, 'user': 4}
{'id': 2, 'check': False, 'user': 4}
{'id': 3, 'check': False, 'user': 4}
{'id': 4, 'check': False, 'user': 4}
{'id': 4, 'check': False, 'user': 5}
{'id': 5, 'check': False, 'user': 5}
{'id': 6, 'check': False, 'user': 5}
{'id': 3, 'check': False, 'user': 5}
